tce,score,disp,N,S,C,E,flags,Period,Epoch,Width,SES_max,MES,LPP_DV,LPP_ALT,Marshall,σ_oe_dv,σ_oe_alt,σ_pri_dv,σ_sec_dv,σ_ter_dv,σ_pos_dv,F_red_dv,σ_fa1_dv,σ_fa2_dv,σ_pri_alt,σ_sec_alt,σ_ter_alt,σ_pos_alt,F_red_alt,σ_fa1_alt,σ_fa2_alt,Rp,Impact,A_dv,D_pri_dv,D_sec_dv,Ph_sec_dv,A_alt,D_pri_alt,D_sec_alt,Ph_sec_alt,Cent_Disp,EM_Disp,ses_art,sweet_snr,sweet_amp,fer_shape,boot_fa,gb_hc_rat,chi2_1,chi2_2,chi2_gof,rec_mes,new_mes,ngood,kic,pn,period,epoch,mes,depth,duration,rplanet,rstar,tstar,logg,a,rprstar,arstar,snr,srad
002305866-02,0.63,PC,0,0,0,0,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,115.230801,176.645182,17.279,5.814,9.835,0.6342,1.01,0.0,0.643,0.2574,23.73,6.996,6.498,6.637,1.884,5.111,2.726,54.21,12.15,11.81,11.34,5.97,5.1,2.707,3.68,0.953,523.7,0.0001572,4.636e-05,0.7542,481.8,0.0003898,8.741e-05,0.6444,0.0,0.0,0.0,11.12,11.57,0.9674,6.11e-20,0.7667,12.92,7.978,10.59,10.48,10.03,13.0,2305866,2,115.23080089,176.64518182,9.8347,154.8,17.2794,3.879,2.517,6585,3.813,0.53088,0.014123,17.65,11.8,37.869
003634051-02,0.23,PC,0,0,0,0,,122.806262,179.311837,1.953,4.678,9.364,0.9747,1.392,0.0,0.4756,0.05471,13.94,4.389,4.272,5.272,1.185,5.486,3.345,11.81,4.807,3.999,5.142,1.143,5.549,3.444,6.01,0.728,417.9,0.0002836,8.929e-05,0.6382,523.3,0.0002705,0.0001101,0.3147,0.0,0.0,0.0,4.902,4.51,0.7447,4.95e-21,0.0,11.51,10.72,8.484,9.389,9.389,11.0,3634051,2,122.80626199,179.31183736,9.364,301.5,1.9534,5.641,3.006,5874,3.664,0.55612,0.017196,341.42,11.3,31.165
003839294-01,0.07,PC,0,0,0,0,,137.665506,240.445573,3.929,5.875,8.069,0.785,0.6732,0.0,0.3898,0.3844,13.93,6.839,6.459,7.693,1.962,5.403,3.214,13.27,5.61,5.604,6.288,1.576,5.438,3.269,20.1,0.895,129.3,0.0005325,0.0002614,0.8813,145.3,0.0005195,0.0002196,0.3401,0.0,0.0,0.0,2.967,6.38,0.9216,2.29e-13,0.1248,8.327,8.391,8.853,8.107,8.107,9.0,3839294,1,137.66550603,240.44557288,8.0694,572.6,3.9294,20.082,6.897,4832,2.953,0.60491,0.026682,134.67,7.7,63.495
003852476-01,0.13,PC,0,0,0,0,,111.742092,166.33039,4.191,3.158,7.286,0.9015,0.839,0.0,0.3039,0.755,12.4,5.5,5.196,6.477,1.615,5.355,3.136,11.15,4.787,4.672,5.396,1.433,5.383,3.182,8.62,0.852,203.6,0.0002444,0.0001084,0.3528,236.2,0.000238,0.0001022,0.7807,0.0,0.0,0.0,2.034,2.4,0.8687,1.08e-12,0.147,8.229,10.17,6.876,7.244,7.244,11.0,3852476,1,111.74209156,166.33039034,7.2857,256.6,4.1911,8.336,4.525,5267,3.338,0.53406,0.016882,113.12,7.5,49.5
004862332-02,0.2,PC,0,0,0,0,,159.583313,160.288188,4.602,4.925,7.116,1.055,1.361,5.967,0.0,0.0,16.98,8.561,8.338,9.198,2.575,5.422,3.243,18.86,7.342,7.077,6.669,1.94,5.407,3.22,85.2,0.888,50.33,0.001684,0.0008487,0.7109,35.7,0.001571,0.0006116,0.1904,0.0,0.0,0.8012,4.781,29.5,0.93,7.69e-11,0.6722,8.007,15.39,8.256,6.985,6.985,3.0,4862332,2,159.5833128,160.28818775,7.1157,1452.1,4.602,84.132,18.374,4981,2.437,0.86329,0.04196,144.41,8.5,249.831
004953262-01,0.05,PC,0,0,0,0,,105.59109,192.299535,2.198,4.162,7.516,0.9709,0.9534,0.0,0.0808,0.6712,12.15,5.485,5.259,5.796,1.767,5.455,3.296,11.13,5.264,4.995,5.359,1.614,5.466,3.313,10.0,0.709,133.1,0.0002869,0.0001295,0.8194,166.3,0.0002801,0.0001325,0.6255,0.0,0.0,0.0,4.689,5.72,0.7264,1.16e-12,0.6056,10.12,8.329,10.04,7.432,7.432,13.0,4953262,1,105.59108962,192.29953537,7.5159,316.3,2.1982,8.36,4.383,4869,3.193,0.45043,0.017479,267.83,7.5,47.679
005193439-01,0.26,PC,0,0,0,0,CENTROID_SIGNIF_UNCERTAIN,129.846777,240.684341,13.196,4.527,7.675,1.2,0.8957,0.0,1.308,1.301,11.1,3.809,2.866,3.458,1.014,5.183,2.851,12.47,3.284,3.136,2.911,0.8728,5.173,2.834,1.55,0.811,3099.0,0.0001727,5.926e-05,0.3458,2415.0,0.0001838,4.839e-05,0.07679,0.0,0.0,0.0,2.367,3.74,0.8237,7.63e-15,0.02318,8.825,9.07,6.89,7.997,7.419,9.0,5193439,1,129.8467767,240.68434095,7.6745,165.7,13.1964,1.477,1.032,6133,4.427,0.50828,0.013112,45.69,8.8,5.226
005653795-02,0.08,PC,0,0,0,0,,118.305767,215.637657,5.887,6.115,9.025,2.113,1.452,0.0,0.1409,0.7044,11.53,4.911,4.357,5.334,1.525,5.313,3.068,10.87,4.689,4.373,5.198,1.364,5.334,3.102,7.48,0.853,351.4,0.0002541,0.0001082,0.2305,330.0,0.0002535,0.0001094,0.6295,0.0,0.0,0.0,4.905,7.21,0.87,1.38e-14,0.3609,9.828,9.704,7.728,8.743,8.256,7.0,5653795,2,118.30576731,215.63765726,9.0252,257.8,5.887,8.675,4.763,6190,3.34,0.57494,0.016691,84.86,7.8,90.275
005706595-03,0.04,PC,0,0,0,0,,150.382595,205.281122,5.029,4.896,7.761,0.9999,0.9766,1.493,0.5136,0.2707,9.727,4.165,3.952,4.246,1.171,5.379,3.176,8.772,3.749,3.642,3.526,1.025,5.409,3.224,2.45,0.837,5172.0,0.0004542,0.0001945,0.3833,5589.0,0.0004417,0.0001888,0.0189,0.0,0.0,0.0,4.872,10.67,0.8602,1.78e-14,0.2826,11.57,8.393,7.509,7.748,7.706,4.0,5706595,3,150.38259486,205.28112186,7.7609,491.0,5.0291,2.405,0.954,5569,4.459,0.54516,0.023104,134.39,8.2,2.639
005888187-01,0.5,PC,0,0,0,0,EYEBALL---LARGE_RM,133.634536,236.354645,1.759,4.012,8.25,0.9578,0.7889,0.0,1.429,0.02356,16.15,4.888,4.517,5.45,1.329,5.529,3.413,16.08,3.529,3.445,3.205,0.8779,5.541,3.431,2.29,0.934,2835.0,0.0003956,0.0001197,0.01533,2388.0,0.0003634,7.978e-05,0.5043,0.0,0.0,0.0,11.9,215.3,0.9572,1.53e-13,0.5741,11.97,9.819,8.309,8.365,8.365,10.0,5888187,1,133.63453596,236.35464499,8.2497,397.8,1.7593,2.333,0.918,5202,4.434,0.48181,0.023291,242.66,9.6,2.382
005977470-01,0.37,PC,0,0,0,0,,140.251651,175.136183,7.037,4.172,9.64,0.6921,0.3662,0.0,0.4675,0.4175,15.01,4.576,4.065,3.806,1.182,5.306,3.057,13.3,4.212,3.636,3.632,0.9536,5.333,3.1,2.29,0.902,4124.0,0.0005543,0.000169,0.7144,5585.0,0.0005184,0.0001641,0.1812,0.0,0.0,0.0,5.474,15.71,0.9289,1.09e-18,0.281,11.8,12.15,9.393,9.843,9.843,11.0,5977470,1,140.25165045,175.13618298,9.6396,585.2,7.037,2.343,0.788,4821,4.529,0.48341,0.027246,74.94,11.2,1.286
