tce,period,mes,ngood,score,rplanet,rstar
002284957-01,419.25608859,7.8587,3.0,0.091,1.856,0.975
003548044-03,445.21607612,7.934,3.0,0.328,1.6,0.95
003629119-01,331.55722941,7.1282,4.0,0.014,1.668,0.801
004446859-01,425.65540846,7.1563,4.0,0.016,1.635,1.195
004670361-01,631.60228695,7.7433,3.0,0.091,2.89,1.059
004742188-01,413.52189437,7.3555,3.0,0.015,1.894,0.992
004940203-01,302.7785074,8.4757,4.0,0.912,1.418,0.797
005097856-01,483.35881759,7.1057,3.0,0.065,1.454,0.718
005098334-01,400.14274977,7.8577,3.0,0.0,1.26,0.911
005881307-01,393.96671781,7.4359,4.0,0.378,2.203,0.989
005955197-01,359.32473486,7.8619,3.0,0.0,2.477,0.753
005956171-01,402.27432681,7.4788,3.0,0.0,1.715,0.95
006356506-01,280.59360623,8.6217,3.0,0.0,2.288,1.078
006531617-01,433.22256361,7.6356,4.0,0.086,2.288,0.777
006934045-01,265.7026371,8.3185,4.0,0.283,3.227,1.859
006952971-01,309.86647732,7.2218,5.0,0.173,2.008,1.155
007303287-03,330.06583717,8.5424,3.0,0.006,4.408,1.115
007747103-01,399.48848512,7.1468,4.0,0.1,7.49,1.618
007832787-01,338.00758417,8.3704,3.0,0.238,2.271,0.898
008022520-01,432.39786493,7.6195,3.0,0.0,1.451,1.009
008308516-02,623.71204234,7.1732,3.0,0.011,2.065,1.132
008311864-01,384.84649513,7.6024,4.0,0.454,1.204,0.798
008329346-01,389.8747642,7.3911,3.0,0.01,4.017,0.79
008439949-01,364.97531223,7.1733,3.0,0.052,2.493,1.116
008555967-01,347.97614616,8.5435,3.0,0.353,1.71,0.878
008608544-02,353.02355788,8.2013,4.0,0.141,2.4,1.155
008637903-01,385.86216485,7.5262,3.0,0.021,3.288,1.195
008708961-01,370.94445311,7.3092,4.0,0.008,4.311,1.63
008873873-01,295.02801719,7.3721,4.0,0.369,0.719,0.762
008880317-01,382.56903296,7.2064,4.0,0.051,2.203,1.239
008956706-05,351.65075031,9.6735,3.0,0.002,3.177,0.74
008956706-06,376.76777814,8.774,3.0,0.005,2.897,0.74
009210820-01,377.67329382,8.0038,3.0,0.154,1.545,0.615
009278575-01,502.28378022,7.2063,3.0,0.023,1.156,0.833
009301564-01,383.87456761,8.2388,3.0,0.253,1.968,1.292
009650579-01,432.96573072,7.3161,3.0,0.012,1.611,0.886
009650762-01,372.065473,8.9062,3.0,0.514,2.316,0.812
010011213-01,376.43389899,7.3452,3.0,0.063,4.194,0.955
010028127-01,367.9491401,8.6159,4.0,0.419,3.538,0.855
010214341-01,277.13115285,8.7427,4.0,0.044,1.892,0.971
010253977-01,392.60169164,7.3105,3.0,0.04,3.162,0.753
010844823-01,362.14202457,7.3622,3.0,0.025,2.459,0.766
011296205-01,379.6741446,7.22,3.0,0.055,1.387,0.824
011714107-01,405.35902761,8.2804,3.0,0.213,2.198,0.906
012554485-01,495.66350725,8.7351,3.0,0.284,2.752,0.82
